Mã Tài Sản,Tên Thiết Bị,Danh Mục,Model/Kích Thước,Số Serial/Mã Lô,Phòng Ban,Vị Trí,Người Quản Lý,Trạng Thái,Nguyên Giá (VNĐ),Ngày Mua,Ghi Chú
AST-00058,Ghế Xoay Lưới Công Trình Ergonomic #58,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-68804,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 89,Phạm Minh Đức,ACTIVE,1874000,2026-01-03,Tài sản mẫu kiểm thử số 58
AST-00059,Máy Nén Khí Piston 15HP #59,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-76543,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 67,Nguyễn Văn Hùng,REPAIR,35034820,2026-01-04,Tài sản mẫu kiểm thử số 59
AST-00060,Máy Điều Hòa Âm Trần Daikin 36000BTU #60,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-59269,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 2,Hoàng Văn Thái,ACTIVE,38048230,2026-01-05,Tài sản mẫu kiểm thử số 60
AST-00061,Xe Nâng Điện Toyota 2.5 Tấn #61,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-32400,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 59,Phạm Thị Lan,ACTIVE,420047580,2026-01-06,Tài sản mẫu kiểm thử số 61
AST-00062,Pallet Nhựa Đen 1200x1000mm #62,Pallet Nhựa,1200x1000x150mm,SN-2026-86141,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 19,Trần Văn Nam,ACTIVE,454840,2026-01-07,Tài sản mẫu kiểm thử số 62
AST-00063,Máy Nén Khí Piston 15HP #63,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-56264,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 17,Phạm Minh Đức,ACTIVE,35018950,2026-01-08,Tài sản mẫu kiểm thử số 63
AST-00064,Máy Nén Khí Piston 15HP #64,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-89331,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 93,Phạm Thị Lan,SPARE,34986890,2026-01-09,Tài sản mẫu kiểm thử số 64
AST-00065,Pallet Nhựa Xanh Lót Sàn #65,Pallet Nhựa,1100x1100x120mm,SN-2026-29874,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 91,Phạm Minh Đức,ACTIVE,383080,2026-01-10,Tài sản mẫu kiểm thử số 65
AST-00066,Pallet Nhựa Đen 1200x1000mm #66,Pallet Nhựa,1200x1000x150mm,SN-2026-76525,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 40,Phạm Thị Lan,ACTIVE,430780,2026-01-11,Tài sản mẫu kiểm thử số 66
AST-00067,Laptop Dell Latitude 5440 i7 #67,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-56613,DEPT-IT,Tầng 4 - Phòng IT - Ô 81,Nguyễn Văn Hùng,LOANED,22497690,2026-01-12,Tài sản mẫu kiểm thử số 67
AST-00068,Pallet Nhựa Đen 1200x1000mm #68,Pallet Nhựa,1200x1000x150mm,SN-2026-84857,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 13,Phạm Thị Lan,ACTIVE,438200,2026-01-13,Tài sản mẫu kiểm thử số 68
AST-00069,Ghế Xoay Lưới Công Trình Ergonomic #69,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-50953,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 83,Nguyễn Thị Hoa,ACTIVE,1835470,2026-01-14,Tài sản mẫu kiểm thử số 69
AST-00070,Máy Điều Hòa Âm Trần Daikin 36000BTU #70,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-33554,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 18,Lê Vũ Tường,ACTIVE,38012090,2026-01-15,Tài sản mẫu kiểm thử số 70
AST-00071,Xe Nâng Điện Toyota 2.5 Tấn #71,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-28931,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 98,Phạm Thị Lan,ACTIVE,420020420,2026-01-16,Tài sản mẫu kiểm thử số 71
AST-00072,Pallet Nhựa 2 Mặt Tải Trọng Nặng #72,Pallet Nhựa,1200x1200x160mm,SN-2026-47746,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 76,Phạm Thị Lan,REPAIR,576290,2026-01-17,Tài sản mẫu kiểm thử số 72
AST-00073,Màn Hình Dell UltraSharp 27 inch 4K #73,Thiết Bị IT,U2723QE,SN-2026-14773,DEPT-IT,Tầng 4 - Phòng IT - Ô 62,Trần Văn Nam,REPAIR,12818440,2026-01-18,Tài sản mẫu kiểm thử số 73
AST-00074,Bộ Máy Hàn TIG Điện Tử 250A #74,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-31642,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 59,Phạm Thị Lan,SPARE,12479820,2026-01-19,Tài sản mẫu kiểm thử số 74
AST-00075,Pallet Nhựa Xanh Lót Sàn #75,Pallet Nhựa,1100x1100x120mm,SN-2026-83919,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 26,Nguyễn Văn Hùng,REPAIR,383090,2026-01-20,Tài sản mẫu kiểm thử số 75
AST-00076,Pallet Nhựa Đen 1200x1000mm #76,Pallet Nhựa,1200x1000x150mm,SN-2026-88195,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 2,Phạm Minh Đức,SPARE,493090,2026-01-21,Tài sản mẫu kiểm thử số 76
AST-00077,Pallet Nhựa 2 Mặt Tải Trọng Nặng #77,Pallet Nhựa,1200x1200x160mm,SN-2026-26444,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 83,Phạm Thị Lan,ACTIVE,589090,2026-01-22,Tài sản mẫu kiểm thử số 77
AST-00078,Pallet Nhựa 2 Mặt Tải Trọng Nặng #78,Pallet Nhựa,1200x1200x160mm,SN-2026-14477,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 86,Hoàng Văn Thái,LOANED,598410,2026-01-23,Tài sản mẫu kiểm thử số 78
AST-00079,Xe Nâng Điện Toyota 2.5 Tấn #79,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-13624,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 77,Trần Văn Nam,ACTIVE,420036220,2026-01-24,Tài sản mẫu kiểm thử số 79
AST-00080,Máy Nén Khí Piston 15HP #80,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-20654,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 75,Hoàng Văn Thái,LOANED,35047200,2026-01-25,Tài sản mẫu kiểm thử số 80
AST-00081,Máy Điều Hòa Âm Trần Daikin 36000BTU #81,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-67867,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 30,Trần Văn Nam,REPAIR,37996950,2026-01-26,Tài sản mẫu kiểm thử số 81
AST-00082,Màn Hình Dell UltraSharp 27 inch 4K #82,Thiết Bị IT,U2723QE,SN-2026-72560,DEPT-IT,Tầng 4 - Phòng IT - Ô 61,Phạm Thị Lan,ACTIVE,12820080,2026-01-27,Tài sản mẫu kiểm thử số 82
AST-00083,Máy Nén Khí Piston 15HP #83,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-57283,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 16,Phạm Thị Lan,LOANED,35040010,2026-01-28,Tài sản mẫu kiểm thử số 83
AST-00084,Bộ Máy Hàn TIG Điện Tử 250A #84,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-98374,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 81,Phạm Thị Lan,SPARE,12512140,2026-01-01,Tài sản mẫu kiểm thử số 84
AST-00085,Pallet Nhựa Đen 1200x1000mm #85,Pallet Nhựa,1200x1000x150mm,SN-2026-67111,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 97,Hoàng Văn Thái,SPARE,444650,2026-01-02,Tài sản mẫu kiểm thử số 85
AST-00086,Pallet Nhựa Xanh Lót Sàn #86,Pallet Nhựa,1100x1100x120mm,SN-2026-64109,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 38,Phạm Thị Lan,ACTIVE,352680,2026-01-03,Tài sản mẫu kiểm thử số 86
AST-00087,Pallet Gỗ Thông Xuất Khẩu Euro #87,Pallet Gỗ,1200x800x144mm,SN-2026-14141,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 4,Lê Vũ Tường,ACTIVE,258080,2026-01-04,Tài sản mẫu kiểm thử số 87
AST-00088,Máy Nén Khí Piston 15HP #88,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-22746,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 24,Hoàng Văn Thái,LOANED,35025270,2026-01-05,Tài sản mẫu kiểm thử số 88
AST-00089,Pallet Nhựa Đen 1200x1000mm #89,Pallet Nhựa,1200x1000x150mm,SN-2026-48645,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 33,Nguyễn Thị Hoa,ACTIVE,406940,2026-01-06,Tài sản mẫu kiểm thử số 89
AST-00090,Máy Điều Hòa Âm Trần Daikin 36000BTU #90,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-99089,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 41,Phạm Minh Đức,ACTIVE,37994850,2026-01-07,Tài sản mẫu kiểm thử số 90
AST-00091,Laptop Dell Latitude 5440 i7 #91,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-99381,DEPT-IT,Tầng 4 - Phòng IT - Ô 35,Phạm Thị Lan,ACTIVE,22464940,2026-01-08,Tài sản mẫu kiểm thử số 91
AST-00092,Máy Nén Khí Piston 15HP #92,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-60258,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 22,Hoàng Văn Thái,ACTIVE,34998690,2026-01-09,Tài sản mẫu kiểm thử số 92
AST-00093,Màn Hình Dell UltraSharp 27 inch 4K #93,Thiết Bị IT,U2723QE,SN-2026-54537,DEPT-IT,Tầng 4 - Phòng IT - Ô 63,Phạm Minh Đức,REPAIR,12817010,2026-01-10,Tài sản mẫu kiểm thử số 93
AST-00094,Xe Nâng Điện Toyota 2.5 Tấn #94,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-87712,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 44,Lê Vũ Tường,LOANED,420013230,2026-01-11,Tài sản mẫu kiểm thử số 94
AST-00095,Pallet Nhựa 2 Mặt Tải Trọng Nặng #95,Pallet Nhựa,1200x1200x160mm,SN-2026-91907,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 73,Trần Văn Nam,SPARE,618620,2026-01-12,Tài sản mẫu kiểm thử số 95
